applicant_id,name,address,income,credit_score,debt_to_income,employment_years,loan_amount,existing_defaults,actual_outcome
292,Nina Lopez,"220 Birch St, Georgetown, WA 99837",117360.94,756,0.59,8.9,7505.29,0,repaid
408,Grace Haddad,"5706 Lakeview Ct, Georgetown, TX 96849",129589.8,549,0.35,29.2,65299.34,0,repaid
45,Grace Haddad,"4497 River Way, Georgetown, NY 46559",166759.06,480,0.24,29.0,43515.66,0,repaid
99,Wei Ivanov,"2927 Maple Ave, Greenville, MA 78690",120273.46,787,0.41,28.7,67152.8,0,repaid
282,Emma Johnson,"3013 Lakeview Ln, Madison, NY 56168",162374.87,621,0.57,28.1,50309.24,0,repaid
187,Diego Novak,"6467 Elm Dr, Arlington, NY 55603",57391.97,849,0.41,9.8,69148.29,0,repaid
150,Omar Johnson,"8509 Pine Dr, Arlington, CA 83242",43248.0,752,0.52,6.2,41319.65,0,repaid
10,Diego Martin,"419 Oak Blvd, Clinton, WA 17592",50567.85,503,0.49,22.9,42897.94,0,defaulted
313,Grace Ivanov,"6992 River Way, Springfield, OR 66224",120665.84,844,0.43,3.5,48674.5,0,repaid
483,Kenji Andersson,"7895 Birch Ln, Franklin, MA 77032",66573.93,425,0.45,12.7,61511.8,0,repaid
479,Sofia Tanaka,"1948 Harbor Blvd, Fairview, MA 24459",,489,0.16,28.7,30989.59,0,repaid
82,Lucas Okafor,"7604 Birch St, Springfield, MA 62640",122647.59,670,0.45,3.3,4425.84,1,repaid
205,Kenji Kim,"4049 Willow Ct, Arlington, NY 79243",57729.3,821,0.58,11.8,63708.46,0,repaid
333,Diego Chen,"6014 River Ln, Salem, IL 55107",158108.64,401,0.73,1.8,50759.11,0,defaulted
339,Ava Kowalski,"8956 Highland Ln, Greenville, TX 80685",46255.42,429,0.03,25.2,68969.14,0,repaid
500,Fatima Ivanov,"9609 Harbor Ln, Clinton, MA 21829",99379.01,392,0.76,25.2,46106.9,0,repaid
35,Diego Kowalski,"8370 Pine Way, Salem, MA 30861",203494.0,555,0.12,3.6,42959.42,0,repaid
128,Hana Johnson,"5221 Ridge Ct, Madison, CO 62260",79486.77,715,0.05,2.2,39255.84,0,repaid
316,Hana Chen,"6611 Harbor Ave, Franklin, OR 83080",41316.64,670,0.53,12.8,43352.29,0,repaid
124,Grace Ivanov,"1007 Ridge St, Salem, TX 49862",88902.96,829,0.7,26.3,15375.09,0,repaid
165,Ava Nguyen,"208 Lakeview Ln, Franklin, CA 12192",63743.93,309,0.05,13.7,74778.39,0,repaid
262,Ava Andersson,"3187 Cedar Way, Franklin, CA 39939",165566.38,766,0.3,17.9,79642.32,1,repaid
147,Fatima Kowalski,"5126 Cedar Dr, Salem, IL 25389",80389.17,637 ,0.01,21.7,55728.72,0,repaid
9,Noah Ivanov,"3027 Lakeview St, Clinton, OR 89818",170175.56,849,0.31,23.1,13494.46,0,defaulted
467,Maria Okafor,"9688 Highland Dr, Salem, MA 39428",162049.4,773,0.12,22.7,31159.79,0,repaid
90,Grace Martin,"7342 Pine Blvd, Georgetown, OR 24918",196668.44,,0.68,4.7,7444.94,0,repaid
388,hana novak,"207 Sunset Ln, Clinton, AZ 92396",141596.79,305,0.2,14.8,36845.34,0,repaid
184,Diego Smith,"5019 Maple Way, Fairview, CA 54967",111066.53,651,0.43,6.2,35615.11,0,repaid
379,Alex Patel,,120464.92,437,0.64,18.1,68318.23,0,repaid
50,Maria Garcia,"9166 Highland Ct, Riverside, MA 23446",186525.67,402,0.32,8.9,56933.46,0,repaid
412,Emma Kim,"4723 Ridge St, Georgetown, GA 87353",190501.04,430,0.81,1.9,1066.62,1,defaulted
108,diego johnson,"2354 Maple Blvd, Greenville, TX 71487",67155.61,682,0.34,29.8,74535.25,0,repaid
297,Kenji Lopez,"9070 Oak Blvd, Georgetown, CO 37752",211478.33,682,0.79,0.3,4300.08,0,repaid
407,Wei Okafor,"8828 Willow Dr, Arlington, GA 41270",140888.05,656,0.09,3.8,63943.86,0,repaid
403,Aisha Novak,"5649 Lakeview Dr, Springfield, TX 13800",129873.13,658,0.85,8.1,46352.55,0,repaid
43,Samuel Müller,"1769 Meadow Way, Clinton, AZ 25866",205777.43,326 ,0.82,17.3,-75376.18,0,defaulted
53,Fatima Rossi,"3557 Highland Ct, Fairview, TX 41439",201700.88,761,0.53,8.9,45921.73,0,repaid
333,Diego Chen,"6014 River Ln, Salem, IL 55107",158108.64,401,0.73,1.8,50759.11,0,defaulted
70,Ava Kim,"3986 Pine Ln, Madison, AZ 48780",147787.74,606,0.23,12.7,-16738.14,0,repaid
432,Omar Okafor,"3427 Cedar Ln, Springfield, GA 96603",146454.51,356,0.08,28.8,76913.12,0,repaid
36,Sofia Chen,"7306 Oak Ct, Clinton, WA 45614",110013.95,786,0.76,22.6,62436.31,0,repaid
338,Kenji Okafor,"3857 Sunset Ct, Clinton, MA 92114",124796.56,706,0.09,29.9,7660.59,0,repaid
74,Kenji Lopez,"6092 Oak Way, Franklin, CA 44663",,602,0.1,10.2,12119.8,1,repaid
32,Priya Smith,"4749 Lakeview Ct, Arlington, CO 22240",112997.64,629,0.19,13.3,72193.29,0,repaid
83,wei johnson,"4605 Elm Ct, Arlington, OR 52622",157219.5,736,0.82,14.7,7382.45,0,repaid
157,Ava Garcia,"5742 Birch Ct, Franklin, OR 51777",32191.53,581,0.79,28.5,-50453.46,1,repaid
331,Sofia Lopez,"7181 Ridge Dr, Georgetown, TX 29601",110145.8,586,,17.1,65321.06,0,repaid
41,Maria Nguyen,"4151 Sunset Way, Springfield, AZ 29973",114061.37,383,0.05,22.5,18713.55,1,repaid
7,Samuel Brown,"6030 Sunset Ave, Salem, MA 21915",48574.32,769,0.67,4.2,60014.09,0,repaid
405,Omar Martin,"3896 Sunset Ave, Arlington, IL 57638",133557.86,776,0.72,2.8,8683.78,0,repaid
327,Nina Garcia,"8001 River Ln, Madison, MA 85303",175787.7,459,0.07,3.6,39920.52,1,defaulted
172,Hana Okafor,"4137 Meadow St, Fairview, IL 30214",65627.68,802,0.34,16.6,47284.13,0,repaid
461,Nina Ivanov,"5527 Birch Ct, Clinton, MA 47988",206213.78,714,0.85,23.1,13328.21,1,repaid
71,Maria Novak,"8238 Ridge Blvd, Georgetown, AZ 56179",24387.92,602,0.36,24.9,69340.32,0,repaid
238,Kenji Martin,"8113 Birch Blvd, Fairview, OR 60793",39397.38,504,0.57,6.2,38412.08,2,defaulted
37,Wei Tanaka,"6778 River Ln, Greenville, GA 18161",83941.91,643,0.12,16.2,55822.04,0,repaid
268,Diego Tanaka,"1998 Oak Way, Springfield, CA 28139",112855.47,570,0.16,3.0,23954.81,0,repaid
180,Omar Novak,"7951 Elm Dr, Salem, OR 64827",47835.82,811,0.23,9.1,34427.11,0,repaid
16,Fatima Garcia,"8956 Ridge St, Fairview, WA 31798",56697.61,732,0.79,13.9,64833.76,0,repaid
385,Omar Andersson,"1497 Lakeview Ct, Franklin, OR 90225",84814.96,556,0.64,19.5,58927.72,0,repaid
283,Grace Nguyen,,136561.25,791,0.64,28.3,71615.41,0,repaid
208,Kenji Haddad,"1183 Highland Ct, Franklin, WA 17589",75493.55,456,0.46,9.3,64836.75,0,repaid
395,Hana Nguyen,"2977 Sunset Blvd, Madison, MA 72193",121337.93,607,0.01,9.7,27967.57,0,repaid
72,Fatima Garcia,"5161 Harbor Dr, Springfield, AZ 57823",147323.58,524,0.61,18.6,53075.34,0,repaid
378,Hana Müller,"3883 Birch St, Madison, NY 72469",,910,0.89,0.8,48842.76,0,repaid
57,Noah Haddad,"759 Harbor Way, Riverside, MA 78021",65784.88,393,0.77,20.2,2638.89,0,repaid
160,Diego Okafor,"351 Sunset Ave, Fairview, MA 41797",57632.66,374,0.65,22.9,38872.14,0,repaid
113,Ava Patel,"2309 Oak Ct, Greenville, CA 48462",28867.14,436,0.73,16.4,62552.26,0,repaid
199,  AISHA PATEL,"4589 Oak Ct, Madison, IL 20803",108257.19,461,0.86,0.0,55398.76,0,defaulted
